country_code,country_name_en,country_name_ko,korea_visa_free_days,korea_entry_type,nomad_visa_available,nomad_visa_name,nomad_visa_income_req_usd,nomad_visa_fee_usd,nomad_visa_duration_months,nomad_visa_renewable,tourist_visa_notes,source_notes
DEU,Germany,독일,90,무비자 (솅겐),N,Freiberufler (프리랜서 비자),확인필요,100,36,Y,한국인 솅겐 협정 90일/180일,"전용 DN 비자 없음; 프리랜서(Freiberufler) 비자로 장기 체류 가능; 소득 요건 사안별 상이"
NLD,Netherlands,네덜란드,90,무비자 (솅겐),N,MVV Zelfstandige (자영업 비자),1400,300,36,Y,한국인 솅겐 협정 90일/180일,"전용 DN 비자 없음; 자영업 MVV 월 €1,300 이상; 3년 발급; 네덜란드 생태계 기여 요건"
CRI,Costa Rica,코스타리카,90,무비자,Y,Digital Nomad Visa (Rentista/Nómada),3000,100,12,Y,한국인 무비자 90일,"월 $3,000 (부양가족 있으면 $4,000); 신청비 $100; 국내 소득세 면제; 1년 갱신 가능"
PAN,Panama,파나마,90,무비자,Y,Short Stay Visa for Remote Workers,3000,300,18,N,한국인 무비자 90일,"월 $3,000 (연 $36,000); 신청비 $250 + 발급비 $50; 9개월+9개월 연장 (총 18개월)"
ROU,Romania,루마니아,90,무비자 (솅겐),Y,Digital Nomad Visa,4000,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"€3,700/월 (~$4,000); 2022년 도입; EU 솅겐 회원국"
BGR,Bulgaria,불가리아,90,무비자 (솅겐),Y,Digital Nomad Visa (2025 도입),2700,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"€2,500/월 (~$2,700); 2025년 6월 공식 도입; 솅겐 회원국"
ARG,Argentina,아르헨티나,90,무비자,Y,Digital Nomad Visa,2750,확인필요,6,Y,한국인 무비자 90일,"월 $2,500~3,000; 6개월+6개월 갱신 (총 12개월); 환율 혜택 (블루달러)"
URY,Uruguay,우루과이,90,무비자,Y,Digital Nomad Permit,0,10,12,Y,한국인 무비자 90일,"최소 소득 요건 없음 (자립 가능 증명); 신청비 ~$10; 12개월 갱신 가능; 남미 안전한 국가"
MAR,Morocco,모로코,90,무비자,N,없음 (2025년 도입 예정),0,0,0,N,한국인 무비자 90일,"전용 DN 비자 없음; 도입 계획 발표됨 (2025년); 관광비자로 단기 체류 활용 중"
ARE,UAE (Dubai),아랍에미리트 (두바이),90,무비자,Y,Virtual Working Programme (VWP),3500,600,12,Y,한국인 무비자 30일 (연장 60일 가능),"월 $3,500 이상; 기본 신청비 $101 (UAE 외부) 또는 $334 (내부); 의료검사 $85~270 + Emirates ID $165 별도"
CPV,Cape Verde,카보베르데,확인필요,e-Visa 필요 가능성,Y,Remote Working Program,1600,54,12,Y,"한국인 관광 입국 조건 확인필요 (e-Visa 필요 가능성)","월 €1,500 (~$1,600) 잔고 증명; 신청비 €20 + 공항 보안료 €34; 6개월+6개월 연장"
