city_id,city_en,city_ko,country_code,country_id_2,monthly_cost_usd,internet_mbps,safety_score,english_score,nomad_score,climate,cowork_usd_month,coworking_score,community_size,mid_term_rent_usd,tax_residency_days,flatio_search_url,anyplace_search_url,nomad_meetup_url,korean_community_size,round_trip_required,work_disclosure_risk,source_refs,data_verified_date
CNX,Chiang Mai,치앙마이,THA,TH,1100,150,7,6,9,tropical,80,9,large,400,180,https://www.flatio.com/s?destination=chiang-mai,https://anyplace.com/rent/chiang-mai,https://www.meetup.com/digital-nomads-chiang-mai/,large,Y,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
DAD,Da Nang,다낭,VNM,VN,1100,확인필요,8,5,8,tropical,70,6,medium,400,183,https://www.flatio.com/s?destination=da-nang,https://anyplace.com/rent/da-nang,https://www.meetup.com/digital-nomads-da-nang/,large,N,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,nomads_fastest_growing_2026|numbeo_cost_index|internal_editorial_scoring,2026-04-03
DBV,Dubrovnik,두브로브니크,HRV,HR,2500,100,9,7,6,mediterranean,200,5,small,1200,183,https://www.flatio.com/s?destination=dubrovnik,https://anyplace.com/rent/dubrovnik,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
DOH,Doha,도하,QAT,QA,3200,11,9,8,6,desert,250,6,small,1800,183,https://www.flatio.com/s?destination=doha,https://anyplace.com/rent/doha,,small,확인필요,원격근무/사업 활동 관련 입국 목적 설명은 신중 권장,nomads_fastest_growing_2026|travel_blog_checks_2026Q1,2026-04-03
DPS,Bali (Canggu),발리 (짱구),IDN,ID,1400,50,6,7,8,tropical,100,9,large,800,183,https://www.flatio.com/s?destination=bali,https://anyplace.com/rent/bali,https://www.meetup.com/bali-digital-nomads/,medium,Y,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
DXB,Dubai,두바이,ARE,AE,4500,300,9,9,7,desert,500,8,large,2800,183,https://www.flatio.com/s?destination=dubai,https://anyplace.com/rent/dubai,https://www.meetup.com/digital-nomads-dubai/,medium,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
EZE,Buenos Aires,부에노스아이레스,ARG,AR,1100,80,5,5,7,temperate,100,7,large,500,183,https://www.flatio.com/s?destination=buenos-aires,https://anyplace.com/rent/buenos-aires,https://www.meetup.com/digital-nomads-buenos-aires/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
FUK,Fukuoka,후쿠오카,JPN,JP,2000,200,9,5,7,subtropical,200,7,medium,900,183,https://www.flatio.com/s?destination=fukuoka,https://anyplace.com/rent/fukuoka,https://www.meetup.com/digital-nomads-fukuoka/,large,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
HAN,Hanoi,하노이,VNM,VN,900,80,7,5,7,subtropical,70,7,medium,400,183,https://www.flatio.com/s?destination=hanoi,https://anyplace.com/rent/hanoi,https://www.meetup.com/digital-nomads-hanoi/,medium,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
HER,Heraklion,헤라클리온 (크레타),GRC,GR,1800,80,8,6,6,mediterranean,150,5,small,700,183,https://www.flatio.com/s?destination=heraklion,https://anyplace.com/rent/heraklion,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
HKT,Phuket,푸켓,THA,TH,1500,80,7,6,7,tropical,100,6,medium,700,180,https://www.flatio.com/s?destination=phuket,https://anyplace.com/rent/phuket,https://www.meetup.com/digital-nomads-phuket/,medium,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
IST,Istanbul,이스탄불,TUR,TR,1500,100,6,6,7,mediterranean,150,7,large,700,183,https://www.flatio.com/s?destination=istanbul,https://anyplace.com/rent/istanbul,https://www.meetup.com/digital-nomads-istanbul/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
KL,Kuala Lumpur,쿠알라룸푸르,MYS,MY,1500,100,6,8,8,tropical,150,9,large,700,182,https://www.flatio.com/s?destination=kuala-lumpur,https://anyplace.com/rent/kuala-lumpur,https://www.meetup.com/digital-nomads-kuala-lumpur/,large,Y,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
KRK,Krakow,크라쿠프,확인필요,PL,1500,120,8,6,7,continental,150,6,medium,650,183,https://www.flatio.com/s?destination=krakow,https://anyplace.com/rent/krakow,https://www.meetup.com/digital-nomads-krakow/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
LIM,Lima,리마,PER,PE,1500,80,5,5,6,desert,150,6,medium,700,183,https://www.flatio.com/s?destination=lima,https://anyplace.com/rent/lima,https://www.meetup.com/digital-nomads-lima/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
LIS,Lisbon,리스본,PRT,PT,2400,200,8,8,9,mediterranean,300,9,large,1400,183,https://www.flatio.com/s?destination=lisbon,https://anyplace.com/rent/lisbon,https://www.meetup.com/lisbon-digital-nomads/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MAD,Madrid,마드리드,ESP,ES,2700,250,7,6,7,semi-arid,300,8,large,1400,183,https://www.flatio.com/s?destination=madrid,https://anyplace.com/rent/madrid,https://www.meetup.com/digital-nomads-madrid/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MDE,Medellin,메데진,COL,CO,1400,80,6,4,8,subtropical,120,8,large,600,183,https://www.flatio.com/s?destination=medellin,https://anyplace.com/rent/medellin,https://www.meetup.com/digital-nomads-medellin/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MEX,Mexico City,멕시코시티,MEX,MX,1800,100,5,5,8,highland,180,8,large,800,183,https://www.flatio.com/s?destination=mexico-city,https://anyplace.com/rent/mexico-city,https://www.meetup.com/digital-nomads-mexico-city/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MIA,Miami,마이애미,USA,US,4000,300,6,10,7,tropical,450,8,large,2500,183,https://www.flatio.com/s?destination=miami,https://anyplace.com/rent/miami,https://www.meetup.com/digital-nomads-miami/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MIL,Milan,밀라노,확인필요,IT,2900,150,6,6,7,continental,350,8,medium,1500,183,https://www.flatio.com/s?destination=milan,https://anyplace.com/rent/milan,https://www.meetup.com/digital-nomads-milan/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MNL,Manila,마닐라,PHL,PH,1200,50,4,9,6,tropical,100,6,medium,700,180,https://www.flatio.com/s?destination=manila,https://anyplace.com/rent/manila,https://www.meetup.com/digital-nomads-manila/,medium,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
MUC,Munich,뮌헨,DEU,DE,3500,150,9,8,7,continental,450,8,medium,1900,183,https://www.flatio.com/s?destination=munich,https://anyplace.com/rent/munich,https://www.meetup.com/digital-nomads-munich/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
NIC,Nicosia,니코시아,CYP,CY,2000,100,8,8,6,mediterranean,180,5,small,900,183,https://www.flatio.com/s?destination=nicosia,https://anyplace.com/rent/nicosia,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
OAX,Oaxaca,오악사카,MEX,MX,1200,60,6,4,7,highland,100,6,medium,500,183,https://www.flatio.com/s?destination=oaxaca,https://anyplace.com/rent/oaxaca,https://www.meetup.com/digital-nomads-oaxaca/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
OSA,Osaka,오사카,JPN,JP,2500,200,9,5,7,subtropical,250,7,medium,1200,183,https://www.flatio.com/s?destination=osaka,https://anyplace.com/rent/osaka,https://www.meetup.com/digital-nomads-osaka/,large,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
PG,Penang,페낭,MYS,MY,1200,80,7,7,7,tropical,100,7,medium,550,182,https://www.flatio.com/s?destination=penang,https://anyplace.com/rent/penang,https://www.meetup.com/digital-nomads-penang/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
PRG,Prague,프라하,CZE,CZ,1600,160,8,7,8,continental,200,8,large,900,183,https://www.flatio.com/s?destination=prague,https://anyplace.com/rent/prague,https://www.meetup.com/digital-nomads-prague/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
PTO,Porto,포르투,PRT,PT,2000,180,8,7,8,mediterranean,220,8,medium,1100,183,https://www.flatio.com/s?destination=porto,https://anyplace.com/rent/porto,https://www.meetup.com/digital-nomads-porto/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
RAK,Marrakech,마라케시,MAR,MA,1000,50,6,5,6,desert,80,5,medium,400,183,https://www.flatio.com/s?destination=marrakech,https://anyplace.com/rent/marrakech,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
SGN,Ho Chi Minh City,호치민,VNM,VN,1000,80,6,5,7,tropical,80,8,large,500,183,https://www.flatio.com/s?destination=ho-chi-minh-city,https://anyplace.com/rent/ho-chi-minh-city,https://www.meetup.com/digital-nomads-ho-chi-minh/,large,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
SJD,Tamarindo,타마린도,CRI,CR,2500,60,7,8,7,tropical,180,5,small,1500,183,https://www.flatio.com/s?destination=tamarindo,https://anyplace.com/rent/tamarindo,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
SJO,San Jose,산호세,CRI,CR,2200,80,6,7,6,tropical,200,6,small,1200,183,https://www.flatio.com/s?destination=san-jose-costa-rica,https://anyplace.com/rent/san-jose,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
SKP,Skopje,스코페,MKD,MK,900,80,6,5,5,continental,80,4,small,400,183,https://www.flatio.com/s?destination=skopje,https://anyplace.com/rent/skopje,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
TBS,Tbilisi,트빌리시,GEO,GE,1000,100,8,5,7,continental,80,7,large,450,183,https://www.flatio.com/s?destination=tbilisi,https://anyplace.com/rent/tbilisi,https://www.meetup.com/digital-nomads-tbilisi/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
TLL,Tallinn,탈린,EST,EE,2200,300,9,9,8,continental,250,8,medium,1100,183,https://www.flatio.com/s?destination=tallinn,https://anyplace.com/rent/tallinn,https://www.meetup.com/digital-nomads-tallinn/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
TPE,Taipei,타이페이,TWN,TW,2000,300,9,6,8,subtropical,200,8,medium,900,183,https://www.flatio.com/s?destination=taipei,https://anyplace.com/rent/taipei,https://www.meetup.com/digital-nomads-taipei/,medium,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
TYO,Tokyo,도쿄,JPN,JP,3200,300,9,5,7,subtropical,350,8,large,1800,183,https://www.flatio.com/s?destination=tokyo,https://anyplace.com/rent/tokyo,https://www.meetup.com/digital-nomads-tokyo/,large,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
USM,Koh Samui,코사무이,THA,TH,1600,60,7,6,6,tropical,120,5,small,800,180,https://www.flatio.com/s?destination=koh-samui,https://anyplace.com/rent/koh-samui,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
VIE,Vienna,빈,확인필요,AT,3000,200,9,8,7,continental,350,7,medium,1500,183,https://www.flatio.com/s?destination=vienna,https://anyplace.com/rent/vienna,https://www.meetup.com/digital-nomads-vienna/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
VLC,Valencia,발렌시아,ESP,ES,2200,200,8,6,7,mediterranean,250,7,medium,1000,183,https://www.flatio.com/s?destination=valencia,https://anyplace.com/rent/valencia,https://www.meetup.com/digital-nomads-valencia/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
WAW,Warsaw,바르샤바,확인필요,PL,1900,150,7,7,7,continental,200,7,medium,850,183,https://www.flatio.com/s?destination=warsaw,https://anyplace.com/rent/warsaw,https://www.meetup.com/digital-nomads-warsaw/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
